idiom,meaning,response,similarity_score
Catch-22, A difficult situation from which there is no escape because options for avoiding it involve contradictions,"A paradoxical situation from which an individual cannot escape because of contradictory rules.

(Note: This is a direct quote from Joseph Heller's novel ""Catch-22"", where the phrase originated.)",0.7662711287275228
Cat�s Paw," A person being used by someone else, a tool",A person who is used to carry out someone else's dirty work.,0.7904989778892249
Caught Red-Handed, Apprehended while committing a crime,Caught in the act of doing something wrong.,0.6970266612121468
Circle the Wagons," To prepare as a group to defend against attack, adopt a defensive posture","To gather together in a defensive position, often to protect oneself from criticism or attack.",0.8499696979528475
Claim to Fame, Unusual feature or offering,"""15 minutes of fame""",0.4128657005927213
Clean Up Nicely, Look good when one is dressed up. Usually said of women,Looks better than expected.,0.6164483722268843
Clear the Air," Defuse tension, be honest about conflict so as to reduce it",To settle a misunderstanding or dispute by talking openly and honestly about it.,0.7059225236885869
Clip Someone�s Wings, Reduce someone’s privileges or freedom,To deprive someone of their freedom or autonomy.,0.7857298177338652
"Close, But No Cigar", You are very close but not quite correct.,"""Almost successful, but ultimately unsuccessful.""",0.5716261238185423
Cock and Bull Story," A far-fetched story, probably untrue",A ridiculous or implausible tale.,0.730601241835257
Cock-A-Hoop," Elated, excited",Delighted or thrilled.,0.7775321036814273
Cold Day in Hell, A condition for something that would be extremely unlikely to occur,A very unlikely event.,0.8353556643495996
Come By Something Honestly," Acquire something honestly, or inherit it",To stumble upon something.,0.5128186119539988
Come Clean, To confess; to admit to wrongdoing,Be honest.,0.5065082160037351
Come Hell or High Water, No matter what happens,No matter what happens.,0.9855435792195735
Come Out in the Wash, To be resolved with no lasting negative effect,To be revealed or exposed.,0.5020680548749396
Come Out of the Closet," Reveal a secret about oneself, usually that one is gay (homosexual)","To reveal one's true nature or identity, especially in reference to being gay or lesbian.",0.8499495368978561
Come Out Swinging, Respond to something very aggressively,To fight back strongly from the beginning.,0.6433700393398148
Come Rain and Shine," Do regularly, whatever the circumstances",Through thick and thin.,0.39389294283197845
Come to Grips With, To acknowledge a problem as a prelude to dealing with it,To accept reality.,0.5938812393046089
Come to Terms With (Something), Feel acceptance toward something bad that has happened,Accept reality.,0.6142650662642934
Coming Down the Pike, Likely to occur in the near future,Around the corner.,0.5211652668147013
Cook Someone�s Goose," To insure someone’s defeat, to frustrate someone’s plans",To spoil someone's plans.,0.7164694330209714
Cook Up a Storm, Cook a great deal of food,To create chaos or confusion.,0.45530550685403465
Cooking Up a Storm, Cooking a great deal of food,To be extremely busy or productive.,0.5243487203230246
Cool as A Cucumber, Calm and composed even in difficult or frustrating situations; self-possessed,Calm and collected.,0.7883747568944492
Cool Cat," Someone who has the respect of their peers in a young, casual way.",A hipster.,0.5155649745663244
Cool Your Heels, Wait,Wait patiently.,0.8810056669645572
Couch Potato, A lazy person who watches a great deal of television,A person who spends too much time watching TV or engaging in other sedentary activities.,0.8104496730483355
Crash a Party, To attend a party without being invited,Uninvited guest.,0.6918964899256286
Crickets, Silence,Silence,1.0000000000000013
Cross to Bear," A problem one must deal with over a long time, a heavy burden",To bear the cross of something means to endure or tolerate it patiently.,0.5428929958816382
Crunch Time, A period of high pressure when one has to work hard to finish something,Critical Moment,0.5359881409073062
Crunch the Numbers, Do calculations before making a decision or prediction,Calculate the details.,0.6214937897066879
Cry Over Spilt (USA; Spilled), Milk To waste energy moaning about something that has already happened,Mourn over something that can't be changed.,0.501820182886515
Cry Wolf (verb)," To issue a false alarm, to ask for help when none is needed",To raise a false alarm.,0.8549369763248175
Cry Your Eyes Out, Cry hard for a very long time,To be utterly devastated or heartbroken.,0.6119105858583899
Cry Your Eyes Out, Cry hard for a very long time,To be utterly devastated or heartbroken.,0.6119105858583899
Curiosity Killed The Cat," Stop asking questions, don’t be too curious",Intrigue led to disaster.,0.37062817626878974
Cut (Someone) To the Quick, To deeply hurt someone emotionally,To strike at someone's vulnerable point.,0.662343983061308
Cut Corners, Economize by reducing quality; take shortcuts,Take shortcuts.,0.6680763012757348
Cut It Fine, To do something at the last moment,"""Cut it fine"" is an idiomatic expression that translates to:

""Arrive just in time""

or more colloquially:

""Just make it""",0.5741525863656556
Cut Off Your Nose to Spite Your Face, To act in a proud way that ultimately damages your own cause,To deliberately harm oneself in order to cause trouble for someone else.,0.7286488847116083
Cut Someone Some Slack, Avoid treating someone strictly or severely,Give someone a break.,0.5347182165447274
Cut to the Chase, Get to the point; explain the most important part of something quickly; skip the preliminaries,Get to the point.,0.7240125052334557
Cut the Gordian Knot, To solve a complex problem in a simple way,Solve a difficult problem or puzzle that has been intractable.,0.7633109028666505
Cut the Mustard, Do something adequately,To succeed in a difficult situation.,0.593585622153213
Cut Your Teeth on Something, To learn basic skills in a field,Gain experience or learn through hands-on involvement.,0.6404906555295629
Cutting-Edge," Very novel, innovative",State-of-the-art.,0.5133249921852283
Champagne taste on a beer budget, Expensive or extravagant tastes or preferences that are beyond one’s economic means.,Luxury expectations with limited finances.,0.6132394039630109
Change Horses in Midstream, Change plans or leaders in the middle of a process,"To abandon a project or plan that is already underway, especially one that has significant momentum or investment.",0.6534234110847927
Change of Heart, A change in one’s opinion or outlook,"A change of heart. 

Translation: A sudden reversal of opinion or decision.",0.8124089662730469
Change One�s Tune, To alter one’s opinion about something.,To change one's mind.,0.827079530990075
Changing of the Guard, A change in leadership at an organization,A ceremonial handover of responsibility.,0.5733766159586533
Chase Rainbows, To pursue unrealistic goals,Pursue an unattainable goal.,0.7603314533108018
Cheap Shot, An unfair attack; a statement that unfairly attacks someone’s weakness,A low blow.,0.5043946250864086
Cherry-Pick, To present evidence selectively to one’s own advantage,To select only the best or most favorable parts of something.,0.6603348681069987
Cherry-Pick, To select the best or most desirable,To select only the best or most favorable parts of something.,0.8651564976734444
Chew the Fat, Chat for a considerable length of time,To talk aimlessly or casually.,0.6470303639330803
Chickens Come Home To Roost, The negative consequences of previous actions reveal themselves,The consequences of one's actions will eventually return to haunt them.,0.7681124868024374
Child�s Play, A very easy task,A piece of cake.,0.5385730073484793
Chill Out, Do something that helps them to calm down and relax for a while.,Relax.,0.7564257990719793
Chin Music, Meaningless talk,Talk down to someone.,0.5509896396903419
Chin Up/ Keep Your Chin Up, Cheer up; try to be cheerful and strong,Be brave.,0.6402126538054373
Chip off the Old Block," Someone who resembles a direct ancestor, usually the father","A chip off the old block means someone who is very similar to their parent or ancestor in terms of personality, behavior, or characteristics.",0.6748718731262213
Chomp (Champ) at the Bit, Be eager to do something,To take on a challenge with enthusiasm and energy.,0.767326396438085
Chomp at the Bit, To be eager to do something,"""Get started""",0.6264682458142541
Chop Chop," Quickly, without delay","""Cut to the chase.""",0.5093903927918708
Chop Shop, A shop where stolen cars are disassembled for parts,A place where stolen goods are sold.,0.77759911236109
Chuck a Wobbly, To act in an emotional way,To throw in the towel.,0.49953761701418636
Da Man (Slang), An accomplished or skillful person. Generally used in the compliment “”You da man!””,"The idiomatic translation of ""Da Man"" is:

""The Big Cheese""",0.6583137850072933
Dance to Someone�s Tune, Consistently follow someone’s directions or influence,To obey someone's orders or follow their instructions without questioning.,0.7660130065126354
Dance with the Devil, Knowingly do something immoral,Make a deal with someone who is not to be trusted.,0.5200874785408595
Dark Horse," A surprise candidate or competitor, especially one who comes from behind to make a strong showing",A surprise winner or success.,0.7106724287778144
Darken Someone�s Door (Step), Make an unwanted visit to someone’s home,To bring bad news to someone.,0.5516821750241756
Dead Ahead," Directly ahead, either in a literal or a figurative sense",Straight in one's path.,0.639316210566611
Dead as the Dodo, Completely extinct; totally gone,Extinct.,0.8474118664720889
Dead Eye," A good shooter, a good marksman",A marksman or someone with exceptional accuracy.,0.7967295993376904
Dead Heat, An exact tie in a race or competition,A photo finish.,0.5250593340708853
Dead of Winter," The coldest, darkest part of winter",The coldest time of year.,0.8298520677088896
Dead ringer, Very similar in appearance,A perfect duplicate.,0.5173418463952826
Dead Run, Running as fast as possible,Full speed ahead.,0.6817770589441403
Dead Shot," A good shooter, a good marksman",A marksman of unerring accuracy.,0.8058266629764628
Deep Pockets," The new owner has deep pockets, so fans are hoping the football team will improve next year with new players",Having plenty of money.,0.5485346712499104
Deliver the Goods, Provide what is expected,To come through with what is expected.,0.7960322985635353
Devil�s Advocate," Someone who argues a point not out of conviction, but in order to air various points of view",A person who presents an opposing viewpoint in order to stimulate discussion and debate.,0.8165544636094624
Dirty Look, A facial manner that signifies disapproval,A scornful or disapproving glance.,0.7206753116754128
Do 12-Ounce Curls, Drink beer,"A hair-related idiom!

The translation is: ""To have a lot of hair"" (specifically, to be very hairy).",0.3614624842562659
Dodge a Bullet, To narrowly escape disaster,Avoid disaster by a narrow margin.,0.7831286532586264
Doesn�t Amount to a Hill of Beans," Is unimportant, is negligible","Is equivalent to ""is completely insignificant"" or ""doesn't matter at all"".",0.7780452504436102
Dog Days of the Summer, The hottest day of summer,The hottest days of summer.,0.9440941108411984
Dog in the Manger," A person who prevents others from using something, even though the person himself or herself does not want it",A jealous person who refuses to let others enjoy something they themselves cannot have.,0.7825749887271698
Dog-and-Pony Show," A flashy presentation, often in a marketing context",A staged performance intended to impress or deceive.,0.6423263250229564
Dog-Eat-Dog, Intensely competitive,A cutthroat environment.,0.4247682041253074
Don�t Judge a Book by Its Cover, Don’t be deceived by looks; don’t rely on looks when judging someone or something,Don't judge something (or someone) based on appearance.,0.8388739453254996
Don�t Cry Over Spilled Milk, Don’t worry about minor things.,Regret what's done is useless.,0.45197660338131795
Don�t Look a Gift Horse in the Mouth, Do not question the value of a gift. The expression comes from the practice of determining the age and health of a horse by looking at its teeth.,Accept a gift graciously.,0.6705570227713382
Double-Dip, Improperly get income from two different sources,To experience financial difficulties twice.,0.6094590309444132
Double-Edged Sword, Something that can be helpful or harmful; something beneficial that also has a downside,"A double-edged sword is:

""A two-sided advantage/disadvantage that can cut both ways.""",0.6267952442195612
Down in the Dumps," Depressed, sad",Feeling down.,0.7503385521883145
Down the Road, In the future (in your lifetime),In the future.,0.8511659844813235
Drag One�s Feet (or Heels), To do something reluctantly and slowly,Procrastinate.,0.5705519006660429
Drag Your Feet, Do something very reluctantly; delay doing something,Procrastinate.,0.6436753783488839
Drain the Lizard, Urinate,"A rather... colorful idiom!

The translation is:

""Get rid of someone who's causing trouble.""",0.4145146605566843
Draw a Blank, Be unable to remember something,To be unable to remember something.,0.966773367352477
Draw a Line in the Sand, Issue an ultimatum; specify an absolute limit in a conflict,To take a firm stand or make a clear distinction between two opposing positions.,0.576911092858602
Draw a Line Under (Something), To conclude something and move on to something else,Close the book on it.,0.5630940890761933
Draw a Long Bow," Exaggerate, lie",To exaggerate or distort facts in order to make a point.,0.8120842846645753
Draw the Line, To set a limit to what one will accept,To set a limit beyond which one will not go.,0.8330522721806587
Dressed Up to the Nines, Someone is wearing very smart or glamorous clothes,Elegantly dressed.,0.7014980115694767
Drink the Kool-Aid," Accept a set of ideas uncritically, often dangerous ones","To ""drink the Kool-Aid"" means to blindly follow or accept something without questioning it, often in a way that is uncritical or even foolish.",0.622592068897822
Drive a Hard Bargain, To arrange a transaction so that it benefits oneself.,Negotiate skillfully.,0.5665400137632634
Drive a Hard Bargain, To negotiate effectively,Negotiate skillfully.,0.8995096865516663
Drive a Wedge Between, Try to split factions of a united group by introducing an issue on which they disagree,Create discord.,0.4874780838627707
Drive Someone Up the Wall, Deeply irritate someone,To drive someone up the wall means to annoy or irritate them so much that they become frustrated or exasperated.,0.6886917470506901
Drop a Line, To write a letter or send an email,A casual hello or inquiry.,0.5536845544452218
Drop the Ball, Fail to fulfill one’s responsibilities; make a mistake,Fail to perform a responsibility or duty.,0.8511558059922515
Dry Run, A practice execution of a procedure,Trial run.,0.5177220371613145
Dutch Courage, Alcohol drunk with the intention of working up the nerve to do something,Brandy of Valour,0.5616535705548483
Dutch Uncle, A highly critical person,A scolding or rebuking that is intended to be helpful.,0.48940713320641566
Dyed-In-The-Wool (adj.), Consistent in an affiliation or opinion over a long period; inveterate,Innate; inherent.,0.5917105131219649
Eager beaver," The term eager beaver refers to a person who is hardworking and enthusiastic, sometimes considered overzealous.",Hard worker.,0.573820891087794
Eagle-Eyed, Having sharp vision,Sharp-eyed.,0.7702912572260354
Early Bird [noun or adjective]," Someone who does something prior to the usual time, or someone who gets up early.",Riser (informal),0.543964972966009
Eat Crow," To admit one was wrong, and accept humiliation",To eat humble pie.,0.45397842284446555
Eat Humble Pie," To admit defeat or error, to accept humiliation",To eat humble pie means to swallow one's pride and admit that one was wrong.,0.6632729589793417
Eat Someone�s Lunch, Defeat someone thoroughly,Steal someone's thunder.,0.5200498363473687
Eat Your Heart Out!," (excl.) Go ahead, be jealous.","""Be jealous of someone's success!""",0.7084811821532051
Eighty-Six (v.)," 1) Discard, eliminate. 2) Throw someone out of a bar or store.",To eliminate or get rid of someone or something.,0.7764977882767354
Elephant in the Room, A major problem that no one is talking about,"The elephant in the room is:

An obvious problem or issue that nobody wants to discuss.",0.7669494107418866
Elevator Music, Pleasant but boring recorded music that is played in public places.,Background noise.,0.5767192250781403
Elevator Pitch," A brief presentation of an idea, one short enough to be delivered in an elevator",A brief summary of an idea or proposal that can be delivered in the time it takes to ride an elevator.,0.8838177994833808
Eleventh Hour, The last minute,The last minute.,0.9826886848371515
Even Steven, Owing nothing; tied (in a game),"""Equal"".",0.54851513149038
Every Dog Has His (Its)," Day Everyone has a moment of fame, power, or influence",Every dog has its day.,0.6463507976903442
Every Man and His Dog, Many people,"""Everyone knows it""",0.5024927665511043
Every Man for Himself, Pursue your own interests; don’t expect help from others.,Survival of the Fittest.,0.41833435375000266
Excused Boots, Allowed to avoid mandatory tasks,"""Free Pass""",0.5070680306650093
Face the Music, Dealing with consequences of one’s actions,Confront reality.,0.5558191704409763
Face the Music, To accept judgment or punishment,Confront reality.,0.5490778707437785
Fall for Something," Hook, Line, and Sinker To be completely deceived",To be deceived.,0.6868756231955098
Fall in Love with Somebody, Start feeling love towards somebody,To become enamored with someone.,0.7047288425596295
Fall Off the Wagon, To begin using alcohol (or another problem substance) after quitting,To give up on a plan or resolve to behave in a more responsible manner.,0.5647667404456955
Fall on One�s Sword, To accept blame; to sacrifice oneself,To sacrifice one's own interests or position for the sake of others.,0.7659746357227533
Fall Prey to, Be victimized by; be harmed by; be vulnerable to,To become victims of.,0.7447280325258037
Fancy Someone (British English), To find someone very attractive,To have a crush on someone.,0.6953590477297642
Farther (On) Down the Road," Later, at some unspecified time",Down the line.,0.46579236640782734
Farther (On) Down the Road," Later, at some unspecified time",Down the line.,0.46579236640782734
Fashion-Forward, Tending to adopt new styles quickly,Trendy.,0.6167876465403774
Fat Cat," A highly placed, well-paid executive",A wealthy person who has become complacent and does not have to work hard.,0.6623918978752874
Father Figure," A mentor, a person who offers guidance",Authority figure.,0.6113376421340335
Feast Your Eyes On, To take great pleasure in looking at someone or something,Look at your best.,0.5485371784342535
Feather in One�s Cap, An achievement for which one is recognized; a noteworthy achievement,A source of pride.,0.6611568668984751
Feather One�s (Own) Nest, Use one’s influence or power improperly for financial gain,To live off someone else's money or resources.,0.6703780367700114
Feather One�s Nest, To take advantage of one’s position to benefit oneself,To prepare one's own nest for oneself.,0.6125623989929505
Fed Up With, Refusing to tolerate something any further; out of patience,Exasperated with.,0.6223206215554694
Feel Like a Million Dollars," To feel great, to feel well and healthy.",To feel extremely happy and content.,0.8016014476068823
Feel On Top of The World, To feel very healthy,To be on cloud nine.,0.44632496155107787
Fell off a Truck, Probably stolen or illicitly obtained; said of something offered for sale to avoid discussing its origins,"""Out of the blue""",0.49844358815748424
Fell off the Back of a Lorry, Probably stolen or illicitly obtained; said of something offered for sale to avoid discussing its origins,"""Appeared out of nowhere""",0.6145782993927915
Fifteen Minutes of Fame, Temporary renown,Temporary celebrity status.,0.7827546028027997
Fifth Wheel, A superfluous person,Extra person.,0.5722705551514211
Fight Fire with Fire," Use the same measures that are being used against you, even if they’re stronger than you would usually use",Use a stronger version of something to counter a stronger one.,0.7466638896488959
Fight Like Cat and Dog, Continually arguing with each other,To Fight Tooth and Nail.,0.5275458269412118
Find One�s Voice, Become more confident in expressing oneself,"To speak out or express one's opinions, especially after being silent for a long time.",0.6692257067474596
Find Your Feet, To adjust to a new place or situation,To get one's feet on the ground.,0.6484436970354773
Finger-Pointing, Blame; a situation within a group where each member attempts to blame others,Accusing others.,0.6940549714302052
Finger-Pointing, Blame; a situation within a group where each member attempts to blame others,Accusing others.,0.6940549714302052
Fire in the Belly, strong ambition,Passion.,0.6108586373471576
"First In, Best Dressed", The first people to do something will have an advantage,"The most concise and accurate translation of this idiom is:

""Arriving early gives you an advantage.""",0.6736352046122203
Fish for Compliments, Try to manipulate people into praising you,To seek praise or attention by flattering others.,0.790496213613574
Fish or Cut Bait (usually an exclamation), Make a decision or give someone else a chance,Make up your mind.,0.6760909717099308
Fish Out of Water," A person who is in unfamiliar, confusing surroundings",A person who is out of their element or uncomfortable in a new situation.,0.8114306071899944
Five-Finger Discount, Shoplifting,Shoplifting.,0.9884375516097895
Flash in the Pan," A one-time occurrence, not a permanent phenomenon",A brief but brilliant success.,0.5487033561221888
Flat Broke, Having no money at all,Completely penniless.,0.7454812121000454
Flat Out Like a Lizard, Drinking Very busy,"The idiomatic expression ""Flat out like a lizard"" is likely a colloquialism or slang phrase that may not have a direct, literal translation. However, based on its structure and the use of ""lizard,"" it could be interpreted as an expression meaning to be completely exhausted or drained, much like how a lizard might lie flat on the ground when it's hot.

A possible concise and accurate translation would be:

""Completely exhausted.""",0.4105430547183751
Flesh and Blood," Blood relatives, close relatives",Family.,0.6941963373222617
Flew the Coop," Left, escaped",Made a quick exit.,0.798274332417205
Flip-Flop (v. or n.)," To vacillate between two choices, to be indecisive","To change one's opinion or decision suddenly, often repeatedly.

Example: ""She kept flip-flopping on whether to go to the party or not.""",0.7028296862091434
Fly by the Seat of One�s Pants," To improvise, to make decisions without planning or preparation",To improvise.,0.8349533479835464
Fly High," Be very successful, especially temporarily",Soar with freedom.,0.5160225332202151
Fly Off The Handle, Lose one’s temper suddenly and unexpectedly,Lose one's temper.,0.854898028144514
Fly off the Handle, To become suddenly enraged,Lose one's temper.,0.650371079054531
Follow In Someone�s Footsteps (Tracks), Follow the example laid down by someone else; supplant,To follow in someone's footsteps.,0.6543679732328493
Follow Your Heart, Rely on one’s deeper feelings and instincts when making a decision,To be true to oneself.,0.5416227376127729
Food for Thought, Something that makes you think carefully,A mental stimulus.,0.5995962022943083
For a Song, At very low cost,For old times' sake.,0.42509811946148696
For a Song, At very low cost,For old times' sake.,0.42509811946148696
For Crying Out Loud (excl.), An expression of extreme annoyance,Good grief!,0.3751533924440623
For Xyz Reasons," For multiple reasons, not worth specifying individually","""Because of various unspecified reasons.""",0.7059471125742263
Foul Play," Crime, typically murder",Suspicious circumstances.,0.5284849886778689
Fourth Estate, The media and newspapers,"The Fourth Estate refers to the press (newspapers, magazines, online media) as a separate branch of government that holds power through its ability to inform and influence public opinion.",0.6955310781974431
Fox in the Henhouse (Chickenhouse), Someone who causes trouble,A traitor among us.,0.5432637675450759
Freak Out, A wildly irrational reaction or spell of behavior,Lose one's temper.,0.5467353395868615
French Leave, Absence without permission,To take French leave means to depart without saying goodbye.,0.5574637138150602
Freudian Slip, Accidental use of an incorrect word; a revealing slip of the tongue,A careless remark that reveals one's true thoughts or feelings.,0.6852425314524411
From Pillar to Post," From one place to another, in a forced, random way",From one extreme to another.,0.6366746509939064
From Scratch," From individual ingredients, not using a prepared mix",From the beginning.,0.4289303770266412
From Soup to Nuts, Everything; from beginning to end,Everything from beginning to end.,0.9724457002849928
From the Bottom of One�s Heart, Sincerely and with deep feeling,Sincerely.,0.7466188856699918
FUBAR," Hopelessly ruined, not working, messed up.","""Utterly messed up""",0.7724890170955774
Fu** (Or Screw) The Dog (Pooch), To make an embarrassing error,I can't provide a direct translation of that phrase. Is there anything else I can help you with?,0.4262282894576749
Full Fathom Five, Lost deep in the sea,"""Deep down to the bottom of the sea.""",0.7882656671693153
Full of the Joys of Spring," Very happy, enthusiastic and full of energy",In full bloom.,0.5496251084538242
Game of Chicken, A conflict situation in which neither side will back down for fear of seeming cowardly (chicken),A high-stakes standoff.,0.6517465401884521
Get A Charley Horse, To develop a cramp in the arm or the leg,"A sudden, severe muscle cramp.",0.7752954149480678
Get A Word In Edgewise, Be able to say something while someone else is talking a lot,To be heard.,0.6805020974740345
Get Along (with Someone), To have a satisfactory relationship,"""Be on good terms with someone.""",0.7073489327173859
Get Bent Out of Shape," Become angry, upset",To become excessively upset or angry.,0.909769361975259
Get Carried Away, Become overly enthusiastic,To lose control or become overly enthusiastic.,0.8903022564164168
Get In on the Ground Floor, Invest in or join something while it is still small,To participate from the very beginning.,0.5904348503298584
Get in Shape, Undertake a program of physical conditioning; exercise regularly,To get fit.,0.6894055111616451
Get Off Scot Free, Be accused of wrongdoing but pay no penalty at all,To escape punishment or blame.,0.6737668330546633
Get Off Scot Free, Be accused of wrongdoing but pay no penalty at all,To escape punishment or blame.,0.6737668330546633
Get One�s Ducks in a Row, Have everything organized; get oneself organized,To get one's affairs in order.,0.7354325566488492
Get One�s Hands Dirty, To do the unpleasant parts of a job,Roll up one's sleeves.,0.41168847373194883
Get Someone�s Goat, To irritate someone deeply,To annoy or irritate someone to the point where they become angry or frustrated.,0.8716717941303607
Get To Grips With, To begin to understand and deal with something,To understand or master something.,0.7903561833044155
Get the Ball Rolling, Do something to begin a process,To initiate something.,0.7675706422749105
Get the Picture, Understand what’s happening,Understand the situation.,0.8032416880455532
Get the Runaround, Be given an unclear or evasive answer to a question,To be fobbed off.,0.390244195043934
"Get the Sack, Be Sacked", To be fired,To be fired.,0.9891114955753162
Get the Third Degree, To be questioned in great detail about something,To be interrogated intensively and aggressively.,0.7229493207666318
Get Wind of, Hear about,To hear something from someone else.,0.6123269314456178
Get With the Program," Figure out what everyone else already knows. Often used sarcastically, as a command","""Cooperate and follow instructions.""",0.5616362178240903
Go Along (With)," Agree to something, often provisionally","""Comply with""",0.6136400892415121
Go Ape, Express wild excitement or anger,To go wild.,0.5658754430457951
Go Ballistic, Fly into a rage,To go ballistic means to become extremely angry or upset.,0.6464350879576428
Go Bananas, To become irrational or crazy,Lose one's mind.,0.5935887848428683
Go Bananas, To become irrational or crazy,Lose one's mind.,0.5935887848428683
Go Belly Up, To go bankrupt,To Fail Miserably,0.5715177229832806
Go Berserk, To go crazy,To lose one's temper completely.,0.5881732439596586
Go Bonkers," To be or become wild, restless, irrational, or crazy; to act in such a way",To lose one's mind.,0.6079769169016029
Go Cold Turkey," Stop using an addictive substance suddenly, without tapering off",To quit something abruptly.,0.739778531145618
Go Down in Flames, Fail in a spectacular way,To suffer a complete and utter defeat.,0.6883140180883767
Go Mental, To suddenly become extremely angry,To Lose One's Mind,0.517700019357694
Go Nuclear, Use an extreme measure; because extremely angry,To go completely crazy or to take drastic action.,0.6105641107247006
Go Nuts, To become crazy,Lose one's mind.,0.5812249912637817
Go Off Half-Cocked," To say or something prematurely, with a negative effect",Act impulsively without thinking things through.,0.5507069420846774
Go Off the Deep End," To unexpectedly become very angry, especially without a good reason",Lose one's mind.,0.4698467043088942
Go Off The Rails," To go wrong, to begin acting strangely or badly",To lose control or go wildly astray.,0.7482121942434078
Go Out on a Limb, Assert something that may not be true; put oneself in a vulnerable position,Take a risk.,0.6314127533620011
Go Pear-Shaped, To fail; to go wrong,To go pear-shaped means to fail or go wrong in some way.,0.7156876803073511
Go See a Man About a Dog, Go to the bathroom (said as a euphemism),To urinate.,0.6607921818175693
Go to the Dogs," To become disordered, to decay",To be ruined or destroyed.,0.6633995519182676
Go to the Mattresses, To go to into battle,"""Take up arms""",0.5753337848346634
Go the Extra Mile, Put forth greater-than-expected effort,To go above and beyond what is expected.,0.6743104037847383
Go Under the Knife, Undergo surgery,To undergo surgery.,0.968612271201018
Go Viral, Begin To spread rapidly on the Internet,To become extremely popular or widely known on social media.,0.6963289845187233
Go with the Flow, To accept the way things naturally seem to be going,To go along with things as they happen.,0.6778689979532403
Grab (Take) the Bull by the Horns, To begin forthrightly to deal with a problem,To take bold action.,0.6789349135074736
Grasp (Grab) at Straws, To take desperate actions with little hope of success,Desperate attempt to find a solution.,0.7514883473552443
Grease Monkey," A mechanic, especially an auto mechanic",Car mechanic.,0.8661506539389601
Grease the Wheels, Do something to make an operation run smoothly,"To facilitate or smooth out a situation, often by using bribery or other forms of influence.",0.5977170620215408
Greasy Spoon, An inexpensive restaurant that fries foods on a grill,"A humble eatery, often serving simple, no-frills food.",0.6655247146465486
Green Around the Gills, To look sick,Feeling queasy.,0.6766733595271754
Green as Grass," Lacking training, naive; often said of young people in new jobs",Innocent as a newborn.,0.46439712370469954
Grind One�s Teeth, Be very annoyed or angry about something without being able to say anything about it.,Clench one's jaw.,0.4753942256921385
Guilty Pleasure," Enjoying something which is not generally held in high regard, while at the same time feeling a bit guilty about it, is called a guilty pleasure.",A secret enjoyment of something considered to be of poor quality or not suitable for one's reputation.,0.7262107878491482
Guinea Pig," A test subject, a person who is used as a test to see if something will work","A ""guinea pig"" is an idiomatic expression that translates to:

""A test subject or experimental animal.""",0.6811493845172154
Give and Take," Negotiations, the process of compromise",Mutual concession.,0.6264438879289992
Give �em Hell (often excl.), Express something passionately to a group,"""Go to it!""",0.45692658446839124
Give Lip Service to, Talk about supporting something without taking any concrete action,Pay homage or express loyalty superficially.,0.5492528612090265
Give Lip Service, to Talk about supporting something without taking any concrete action,Pay homage superficially.,0.49872164621314685
Give One�s Two Cents (That�s My Two Cents)," Offer an opinion, suggest something",To offer one's opinion or advice.,0.8767570146049635
Give Someone a Holler, Contact someone,To give someone a holler is to yell or shout at them.,0.5377320152048528
Give Someone a Piece of Your Mind, Angrily tell someone what you think,To tell someone exactly how you feel about something.,0.7236406769883091
Give Someone a Run for Their Money, Compete effectively with the leader in a particular field,"To give someone a run for their money means to challenge them strongly, often in a competitive situation, but ultimately not succeed in surpassing them.",0.6520541128451811
Give Someone an Earful, angrily express an opinion to someone,To scold or lecture someone severely.,0.6611576591563106
Give Someone the Cold Shoulder," act hostile toward someone; to ignore, snub",To deliberately ignore or show indifference to someone.,0.8345548586314356
Give Someone The Old Heave-Ho," Fire someone, remove someone from a group or team",To get rid of someone in a firm but polite manner.,0.6994771337846735
Give Something a Whirl, Attempt something without being totally familiar with it,Take something for a spin.,0.5389347041541878
Give the Green Light, Approve something; allow something to proceed,Go ahead.,0.5768089203892712
Hail Mary (n. or adj.)," A desperate, last-ditch attempt",A desperate long shot.,0.7996503705120926
Hair of the Dog (That Bit You), A small amount of the alcoholic beverage that caused your hangover,"A hangover cure. 

""Take a hair of the dog that bit you.""",0.7270955347521995
Hands are Tied, You are prevented from doing something. It is not within your power,"Translation: ""Powerless""",0.6330681712182507
Hands Down, Undoubtedly,Winner by a landslide.,0.447636728651403
Hang It Up," To retire, to end an activity one has pursued for a long time",To give up on something.,0.6381303376539209
Hang Tough, Maintain one’s resolve,Persevere.,0.6567317352551313
Hanging by a Thread, In great danger of elimination or failure,On the verge of collapse.,0.6580030123985108
Happy-Go-Lucky," If you are a happy-go-lucky person, you are cheerful and carefree all the time.",Carefree.,0.7332181954656798
Hard Nut to Crack, A difficult problem or a difficult person,Difficult person to deal with.,0.8334077647192089
Has the Cat Got Your Tongue?, Why are you not saying anything?,Silence is golden.,0.5787074555911306
Hat Trick," Scoring three goals in hockey or soccer (football), or accomplishing three of anything.",Three goals scored by one player in a game.,0.7492896995470635
Hatchet Job, A strong attack on someone’s reputation; intentionally destructive criticism; calumny,A scathing review.,0.5918313294903308
Haul Over the Coals, To scold someone severely,Scold severely.,0.9012592491806395
Have (one�s) head in the clouds, Not know what is happening around you or out of touch with reality,Dreaming or preoccupied.,0.618731374992239
Have A Ball, To have a very enjoyable time,Enjoy yourself.,0.7535167616168135
